Algo,M,N,K,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GFlops,DataLocation
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020797,6608.672693,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020823,6600.344805,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020852,6591.045235,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020826,6599.248258,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020807,6605.271083,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020753,6622.579094,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020742,6626.167867,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020792,6610.188823,host
Cosma(Optimal),4096,4096,4096,1,4,0.751359,0.020728,6630.499685,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.020926,6567.908672,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.020971,6553.855635,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.020933,6565.784486,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.020954,6558.938094,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.021031,6535.008516,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.021037,6533.048401,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.02102,6538.384471,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.021062,6525.473731,host
Cosma(Optimal),4096,4096,4096,1,4,0.75405,0.02,6871.814017,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020911,6572.525747,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020806,6605.611721,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020855,6590.18055,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020802,6607.053712,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020909,6573.110097,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020887,6580.21011,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.0208,6607.628652,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020796,6608.886879,host
Cosma(Optimal),4096,4096,4096,1,4,0.75865,0.020789,6611.016791,host
Cosma(Optimal),5120,5120,5120,1,4,0.736964,0.033205,8084.264495,host
