Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,DataLocation
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.628077,0.098616,218.824857,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.061296,0.035990,2242.227609,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.071044,0.036411,1934.574640,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.068045,0.036317,2019.833396,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.067135,0.036537,2047.213864,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.067664,0.036414,2031.189601,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.066600,0.036567,2063.649747,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.066596,0.036390,2063.781135,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.067067,0.036554,2049.276124,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.863469,0.067739,0.036418,2028.952047,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.250572,0.079533,1071.291993,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.101217,0.055282,2652.075932,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.096495,0.055374,2781.846340,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.096649,0.055432,2777.420103,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.094626,0.055762,2836.803501,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.093596,0.055764,2868.034809,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.093976,0.055621,2856.424212,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.093655,0.055605,2866.228327,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.093918,0.055695,2858.180921,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.783064,0.093550,0.055734,2869.446300,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.210149,0.119484,2207.278516,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.165322,0.081248,2805.780899,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.183077,0.081470,2533.663653,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.185641,0.081700,2498.679185,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.182596,0.081902,2540.344753,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.184343,0.081903,2516.274418,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.181538,0.081942,2555.143300,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.181585,0.082083,2554.479824,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.182469,0.082009,2542.108816,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.747233,0.182813,0.081895,2537.327808,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.834127,0.407852,0.157050,1806.014327,devices
