Algo,M,N,K,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GFlops,DataLocation
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029806,4611.180590,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029678,4631.025006,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029746,4620.446103,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029810,4610.521626,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029758,4618.527010,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029157,4713.729258,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029208,4705.566339,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029306,4689.856272,host
Cosma(Optimal),4096,4096,4096,1,2,0.440653,0.029041,4732.577008,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.045681,5876.316762,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.045616,5884.723712,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.045455,5905.511363,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.045825,5857.788282,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.045019,5962.753970,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.044974,5968.744232,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.044993,5966.129529,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.045062,5956.968848,host
Cosma(Optimal),5120,5120,5120,1,2,0.396043,0.045063,5956.950341,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.068190,6802.453706,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.066171,7010.019087,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.066156,7011.601109,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.066097,7017.764234,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.065647,7065.915965,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.065623,7068.522768,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.065556,7075.777122,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.065379,7094.922808,host
Cosma(Optimal),6144,6144,6144,1,2,0.417477,0.065678,7062.594728,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.091382,8060.541095,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.091324,8065.642702,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.089865,8196.610465,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.089810,8201.655682,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.089694,8212.252753,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.089712,8210.600355,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.089848,8198.162157,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.089844,8198.519032,host
Cosma(Optimal),7168,7168,7168,1,2,0.436334,0.089794,8203.087873,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.129636,8481.560917,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127634,8614.557622,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127268,8639.348493,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127476,8625.274836,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127534,8621.292658,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127563,8619.389538,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127486,8624.541440,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127630,8614.810058,host
Cosma(Optimal),8192,8192,8192,1,2,0.400882,0.127570,8618.857728,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.152806,10245.102823,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.150169,10425.050410,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.150065,10432.225278,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.150442,10406.120757,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.150083,10430.989397,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.149814,10449.756511,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.150153,10426.132815,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.150074,10431.631629,host
Cosma(Optimal),9216,9216,9216,1,2,0.379911,0.149752,10454.068249,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251956,8523.253295,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251823,8527.755215,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.252027,8520.859596,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251764,8529.740452,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251857,8526.589400,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251690,8532.253385,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251652,8533.534958,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251953,8523.357183,host
Cosma(Optimal),10240,10240,10240,1,2,0.405673,0.251931,8524.111268,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301369,9484.399454,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301691,9474.278150,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301701,9473.944966,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301582,9477.676334,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301088,9493.227121,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301347,9485.080852,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301714,9473.539273,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301595,9477.290433,host
Cosma(Optimal),11264,11264,11264,1,2,0.398504,0.301547,9478.789906,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.334319,11099.738366,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.334325,11099.531893,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.333880,11114.339118,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.334262,11101.622547,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.334166,11104.823777,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.333903,11113.573237,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.334267,11101.447156,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.334059,11108.365754,host
Cosma(Optimal),12288,12288,12288,1,2,0.421082,0.334038,11109.068394,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.419164,11255.789189,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.418807,11265.394623,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.418685,11268.665929,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.418845,11264.363955,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.418955,11261.405330,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.418837,11264.571311,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.419892,11236.266376,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.419823,11238.108828,host
Cosma(Optimal),13312,13312,13312,1,2,0.391662,0.429784,10977.645039,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.487357,12091.132265,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.487469,12088.349267,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.488271,12068.484639,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.488586,12060.710544,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.488710,12057.661986,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.488033,12074.389171,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.504020,11691.398640,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.489734,12032.444084,host
Cosma(Optimal),14336,14336,14336,1,2,0.418056,0.488526,12062.193797,host
Cosma(Optimal),15360,15360,15360,1,2,0.438775,0.555876,13038.434238,host
