Algo,M,N,K,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,ALoc,BLoc,CLoc
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004432,0.000000,31011.370879,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004259,0.000000,32268.581041,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004271,0.000000,32177.244370,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004287,0.000000,32061.124092,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004265,0.000000,32227.577926,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004240,0.000000,32415.619682,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004252,0.000000,32325.198458,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004218,0.000000,32587.484327,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004299,0.000000,31973.336461,0,1,2
PARALiA-Sequential,4096,4096,4096,2,2,4,16,0.000000,0.004250,0.000000,32335.009024,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004891,0.000000,54888.939417,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004765,0.000000,56329.508441,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004807,0.000000,55844.242603,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004784,0.000000,56110.621149,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004841,0.000000,55447.092820,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004884,0.000000,54959.963965,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004749,0.000000,56523.080227,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004791,0.000000,56025.143702,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004784,0.000000,56112.966989,0,1,2
PARALiA-Sequential,5120,5120,5120,2,2,4,16,0.000000,0.004793,0.000000,56002.690444,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005375,0.000000,86303.518081,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005294,0.000000,87627.539499,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005348,0.000000,86726.605311,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005321,0.000000,87177.120346,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005373,0.000000,86335.484007,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005429,0.000000,85435.132545,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005359,0.000000,86556.518270,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005322,0.000000,87166.308210,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005320,0.000000,87183.346732,0,1,2
PARALiA-Sequential,6144,6144,6144,2,2,4,16,0.000000,0.005341,0.000000,86848.552348,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.012820,0.000000,57453.987341,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006177,0.000000,119239.889847,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006129,0.000000,120187.991864,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006145,0.000000,119874.253684,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006186,0.000000,119068.727490,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006209,0.000000,118630.161436,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006158,0.000000,119615.737149,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006210,0.000000,118615.260749,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006207,0.000000,118672.400388,0,1,2
PARALiA-Sequential,7168,7168,7168,2,2,4,16,0.000000,0.006219,0.000000,118439.981532,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.014286,0.000000,76963.520431,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006325,0.000000,173845.093055,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006323,0.000000,173894.858504,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006372,0.000000,172550.012339,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006377,0.000000,172414.453898,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006291,0.000000,174778.306955,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006331,0.000000,173665.240417,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006297,0.000000,174606.778066,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006305,0.000000,174382.191251,0,1,2
PARALiA-Sequential,8192,8192,8192,2,2,4,16,0.000000,0.006318,0.000000,174020.636267,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008478,0.000000,184661.747914,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008469,0.000000,184854.501223,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008434,0.000000,185624.911148,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008415,0.000000,186041.188597,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008427,0.000000,185772.074872,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008482,0.000000,184565.086739,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008425,0.000000,185818.380204,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008370,0.000000,187042.987845,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008448,0.000000,185304.804063,0,1,2
PARALiA-Sequential,9216,9216,9216,2,2,4,16,0.000000,0.008495,0.000000,184284.147600,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.018370,0.000000,116900.599276,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010712,0.000000,200477.906373,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010663,0.000000,201401.261518,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010673,0.000000,201208.784257,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010668,0.000000,201298.749867,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010673,0.000000,201211.423611,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010647,0.000000,201689.342889,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010651,0.000000,201626.303199,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010645,0.000000,201735.004517,0,1,2
PARALiA-Sequential,10240,10240,10240,2,2,4,16,0.000000,0.010648,0.000000,201677.220453,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.014130,0.000000,202282.260749,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.014065,0.000000,203215.481619,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.013987,0.000000,204359.808406,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.014023,0.000000,203836.481828,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.014062,0.000000,203258.126411,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.014020,0.000000,203866.271199,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.013714,0.000000,208423.198334,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.012990,0.000000,220037.412855,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.012976,0.000000,220281.960180,0,1,2
PARALiA-Sequential,11264,11264,11264,2,2,4,16,0.000000,0.012987,0.000000,220082.665955,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.026192,0.000000,141678.260889,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.017790,0.000000,208592.859529,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.017730,0.000000,209297.473719,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.017449,0.000000,212666.546379,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.017507,0.000000,211958.727899,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.017494,0.000000,212119.640242,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.017468,0.000000,212439.499052,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.016640,0.000000,223001.564964,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.016261,0.000000,228199.960086,0,1,2
PARALiA-Sequential,12288,12288,12288,2,2,4,16,0.000000,0.014500,0.000000,255928.223007,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.019666,0.000000,239909.974405,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.019599,0.000000,240730.984847,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.019594,0.000000,240791.801003,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.019597,0.000000,240751.130635,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.018481,0.000000,255287.510138,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.018280,0.000000,258091.841034,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.018278,0.000000,258121.224982,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.018449,0.000000,255733.492373,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.018605,0.000000,253582.526097,0,1,2
PARALiA-Sequential,13312,13312,13312,2,2,4,16,0.000000,0.018631,0.000000,253240.479702,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.026253,0.000000,224454.945075,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.022453,0.000000,262450.386833,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.022703,0.000000,259551.366944,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.022989,0.000000,256325.868590,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.022966,0.000000,256588.717956,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.022978,0.000000,256453.710152,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.022999,0.000000,256218.651435,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.023260,0.000000,253338.023895,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.023229,0.000000,253682.346068,0,1,2
PARALiA-Sequential,14336,14336,14336,2,2,4,16,0.000000,0.023087,0.000000,255239.685198,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.030201,0.000000,239983.445356,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027246,0.000000,266016.518535,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027419,0.000000,264336.806128,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027655,0.000000,262076.727194,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027621,0.000000,262402.178764,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027656,0.000000,262070.197969,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027582,0.000000,262775.305125,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027656,0.000000,262067.250921,0,1,2
PARALiA-Sequential,15360,15360,15360,2,2,4,16,0.000000,0.027953,0.000000,259279.555469,0,1,2
