Algo,M,N,K,TotalGPUs,ExecutionTime,GFlops,ALoc,BLoc,CLoc
PARALiA,4096,4096,4096,4,0.003805,36121.357999,0,1,2
PARALiA,4096,4096,4096,4,0.003674,37410.653015,0,1,2
PARALiA,4096,4096,4096,4,0.003604,38135.799967,0,1,2
PARALiA,4096,4096,4096,4,0.003604,38135.799967,0,1,2
PARALiA,4096,4096,4096,4,0.003689,37255.913676,0,1,2
PARALiA,4096,4096,4096,4,0.003654,37613.255403,0,1,2
PARALiA,4096,4096,4096,4,0.003627,37892.641314,0,1,2
PARALiA,4096,4096,4096,4,0.003675,37398.517731,0,1,2
PARALiA,4096,4096,4096,4,0.003670,37449.538901,0,1,2
PARALiA,4096,4096,4096,4,0.003748,36670.531317,0,1,2
PARALiA,4096,4096,4096,4,0.003641,37746.251460,0,1,2
PARALiA,4096,4096,4096,4,0.003641,37746.251460,0,1,2
PARALiA,4096,4096,4096,4,0.003729,36858.104367,0,1,2
PARALiA,4096,4096,4096,4,0.003642,37736.367655,0,1,2
PARALiA,4096,4096,4096,4,0.003664,37510.460197,0,1,2
PARALiA,4096,4096,4096,4,0.003639,37768.508963,0,1,2
PARALiA,4096,4096,4096,4,0.003619,37977.518434,0,1,2
PARALiA,4096,4096,4096,4,0.003720,36945.507422,0,1,2
PARALiA,4096,4096,4096,4,0.003678,37367.002807,0,1,2
PARALiA,4096,4096,4096,4,0.003667,37478.756407,0,1,2
PARALiA,4096,4096,4096,4,0.003631,37850.344866,0,1,2
PARALiA,4096,4096,4096,4,0.003625,37915.071843,0,1,2
PARALiA,4096,4096,4096,4,0.003726,36886.405957,0,1,2
PARALiA,4096,4096,4096,4,0.003729,36855.747862,0,1,2
PARALiA,4096,4096,4096,4,0.003673,37417.937966,0,1,2
PARALiA,4096,4096,4096,4,0.003659,37561.787470,0,1,2
PARALiA,4096,4096,4096,4,0.003662,37529.996895,0,1,2
PARALiA,4096,4096,4096,4,0.003649,37664.864574,0,1,2
PARALiA,4096,4096,4096,4,0.003748,36670.531317,0,1,2
PARALiA,4096,4096,4096,4,0.003761,36542.678434,0,1,2
PARALiA,4096,4096,4096,4,0.003649,37664.864574,0,1,2
PARALiA,4096,4096,4096,4,0.003636,37798.226497,0,1,2
PARALiA,4096,4096,4096,4,0.003598,38198.976364,0,1,2
PARALiA,4096,4096,4096,4,0.003650,37652.563834,0,1,2
PARALiA,4096,4096,4096,4,0.003664,37510.460197,0,1,2
PARALiA,4096,4096,4096,4,0.003728,36865.175692,0,1,2
PARALiA,4096,4096,4096,4,0.003603,38145.894144,0,1,2
PARALiA,4096,4096,4096,4,0.003635,37810.622609,0,1,2
PARALiA,4096,4096,4096,4,0.003696,37186.218056,0,1,2
PARALiA,4096,4096,4096,4,0.003743,36719.584197,0,1,2
PARALiA,4096,4096,4096,4,0.003597,38209.104017,0,1,2
PARALiA,4096,4096,4096,4,0.003739,36759.389893,0,1,2
PARALiA,4096,4096,4096,4,0.003616,38010.072023,0,1,2
PARALiA,4096,4096,4096,4,0.003613,38040.171064,0,1,2
PARALiA,4096,4096,4096,4,0.003665,37500.699473,0,1,2
PARALiA,4096,4096,4096,4,0.003637,37790.792730,0,1,2
PARALiA,4096,4096,4096,4,0.003704,37104.837301,0,1,2
PARALiA,4096,4096,4096,4,0.003680,37347.635394,0,1,2
PARALiA,4096,4096,4096,4,0.003576,38433.279039,0,1,2
PARALiA,5120,5120,5120,4,0.005704,47061.524279,0,1,2
PARALiA,5120,5120,5120,4,0.005678,47274.937304,0,1,2
PARALiA,5120,5120,5120,4,0.005683,47233.288872,0,1,2
PARALiA,5120,5120,5120,4,0.005694,47144.288872,0,1,2
PARALiA,5120,5120,5120,4,0.005700,47094.989202,0,1,2
PARALiA,5120,5120,5120,4,0.005684,47225.364156,0,1,2
PARALiA,5120,5120,5120,4,0.005691,47167.989394,0,1,2
PARALiA,5120,5120,5120,4,0.005688,47193.691866,0,1,2
PARALiA,5120,5120,5120,4,0.005710,47012.397463,0,1,2
PARALiA,5120,5120,5120,4,0.005684,47225.364156,0,1,2
PARALiA,5120,5120,5120,4,0.005692,47160.086573,0,1,2
PARALiA,5120,5120,5120,4,0.005700,47093.019359,0,1,2
PARALiA,5120,5120,5120,4,0.005693,47150.211769,0,1,2
PARALiA,5120,5120,5120,4,0.005699,47100.899717,0,1,2
PARALiA,5120,5120,5120,4,0.005705,47051.690703,0,1,2
PARALiA,5120,5120,5120,4,0.005694,47144.288872,0,1,2
PARALiA,5120,5120,5120,4,0.005691,47167.989394,0,1,2
PARALiA,5120,5120,5120,4,0.005695,47134.420682,0,1,2
PARALiA,5120,5120,5120,4,0.005712,46996.698537,0,1,2
PARALiA,5120,5120,5120,4,0.005678,47276.922395,0,1,2
PARALiA,5120,5120,5120,4,0.005699,47102.870219,0,1,2
PARALiA,5120,5120,5120,4,0.005700,47093.019359,0,1,2
PARALiA,5120,5120,5120,4,0.005683,47233.288872,0,1,2
PARALiA,5120,5120,5120,4,0.005711,47004.546689,0,1,2
PARALiA,5120,5120,5120,4,0.005703,47069.394099,0,1,2
PARALiA,5120,5120,5120,4,0.005709,47020.250860,0,1,2
PARALiA,5120,5120,5120,4,0.005690,47175.894865,0,1,2
PARALiA,5120,5120,5120,4,0.005697,47118.640169,0,1,2
PARALiA,5120,5120,5120,4,0.005706,47043.826802,0,1,2
PARALiA,5120,5120,5120,4,0.005700,47094.989202,0,1,2
PARALiA,5120,5120,5120,4,0.005712,46994.736908,0,1,2
PARALiA,5120,5120,5120,4,0.005704,47061.524279,0,1,2
PARALiA,5120,5120,5120,4,0.005701,47085.141638,0,1,2
PARALiA,5120,5120,5120,4,0.005712,46996.698537,0,1,2
PARALiA,5120,5120,5120,4,0.005678,47276.922395,0,1,2
PARALiA,5120,5120,5120,4,0.005691,47167.989394,0,1,2
PARALiA,5120,5120,5120,4,0.005689,47185.780430,0,1,2
PARALiA,5120,5120,5120,4,0.005689,47185.780430,0,1,2
PARALiA,5120,5120,5120,4,0.005685,47219.422364,0,1,2
PARALiA,5120,5120,5120,4,0.005701,47085.141638,0,1,2
PARALiA,5120,5120,5120,4,0.005657,47452.265640,0,1,2
PARALiA,5120,5120,5120,4,0.005662,47410.304314,0,1,2
PARALiA,5120,5120,5120,4,0.005655,47470.271812,0,1,2
PARALiA,5120,5120,5120,4,0.005646,47544.440980,0,1,2
PARALiA,5120,5120,5120,4,0.005651,47502.316549,0,1,2
PARALiA,5120,5120,5120,4,0.005643,47570.555469,0,1,2
PARALiA,5120,5120,5120,4,0.005648,47528.384771,0,1,2
PARALiA,5120,5120,5120,4,0.005479,48992.642045,0,1,2
PARALiA,5120,5120,5120,4,0.005313,50525.036207,0,1,2
PARALiA,6144,6144,6144,4,0.013618,34062.030166,0,1,2
PARALiA,6144,6144,6144,4,0.013592,34127.156046,0,1,2
PARALiA,6144,6144,6144,4,0.013603,34099.641382,0,1,2
PARALiA,6144,6144,6144,4,0.013582,34152.316938,0,1,2
PARALiA,6144,6144,6144,4,0.013545,34245.494597,0,1,2
PARALiA,6144,6144,6144,4,0.013676,33917.732240,0,1,2
PARALiA,6144,6144,6144,4,0.013600,34107.412766,0,1,2
PARALiA,6144,6144,6144,4,0.013651,33979.339452,0,1,2
PARALiA,6144,6144,6144,4,0.013716,33818.683430,0,1,2
PARALiA,6144,6144,6144,4,0.013614,34071.574359,0,1,2
PARALiA,6144,6144,6144,4,0.013659,33959.766783,0,1,2
PARALiA,6144,6144,6144,4,0.013509,34336.757894,0,1,2
PARALiA,6144,6144,6144,4,0.013628,34037.002082,0,1,2
PARALiA,6144,6144,6144,4,0.013538,34263.587739,0,1,2
PARALiA,6144,6144,6144,4,0.013388,34647.392642,0,1,2
PARALiA,6144,6144,6144,4,0.013350,34745.777030,0,1,2
PARALiA,6144,6144,6144,4,0.013290,34902.856715,0,1,2
PARALiA,6144,6144,6144,4,0.013436,34523.201828,0,1,2
PARALiA,6144,6144,6144,4,0.013486,34395.032954,0,1,2
