Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,DataLocation
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.218213,0.077694,629.838874,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.075572,0.034786,1818.651339,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.081488,0.034762,1686.623480,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.078750,0.034838,1745.251543,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.078848,0.034675,1743.083707,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.078575,0.034700,1749.151440,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.078492,0.034749,1750.984082,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.078431,0.034658,1752.360678,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.078122,0.034747,1759.283571,devices
SLATE,4096,4096,4096,1024,1024,2,1,1,2,0.611556,0.078249,0.034755,1756.430910,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.139747,0.081710,1920.866668,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.116796,0.052698,2298.321534,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.137719,0.052638,1949.148608,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.135254,0.052702,1984.679690,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.134104,0.052709,2001.700296,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.133645,0.052657,2008.574808,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.134086,0.052742,2001.970801,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.133918,0.052713,2004.469406,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.133366,0.052689,2012.777786,devices
SLATE,5120,5120,5120,1024,1024,2,1,1,2,0.389026,0.134983,0.052654,1988.657217,devices
SLATE,6144,6144,6144,1024,1024,2,1,1,2,0.500414,0.230479,0.119473,2012.579381,devices
SLATE,6144,6144,6144,1024,1024,2,1,1,2,0.500414,0.198051,0.093528,2342.105183,devices
SLATE,6144,6144,6144,1024,1024,2,1,1,2,0.500414,0.210520,0.093439,2203.387140,devices
SLATE,6144,6144,6144,1024,1024,2,1,1,2,0.500414,0.210605,0.078211,2202.492206,devices
SLATE,6144,6144,6144,1024,1024,2,1,1,2,0.500414,0.224658,0.078197,2064.721826,devices
