Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,DataLocation
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.182460,6026.039448,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.191678,5736.242740,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.219678,5005.110725,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.208672,5269.089850,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.224575,4895.975155,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.128222,8575.038210,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.157359,6987.301603,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.238065,4618.535973,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.243414,4517.049592,devices
cuBLASMp,8192,8192,8192,2048,2048,4,4,4,16,0.000001,0.023479,0.000000,0.097834,11238.525087,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.360193,10302.387554,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.597227,6213.473008,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.406425,9130.478872,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.491303,7553.075674,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.491907,7543.803263,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.424599,8739.660246,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.494757,7500.355137,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.472895,7847.094280,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.376255,9862.602095,devices
cuBLASMp,12288,12288,12288,2048,2048,4,4,4,16,0.000001,0.045188,0.000000,0.388853,9543.063967,devices
cuBLASMp,14336,14336,14336,2048,2048,4,4,4,16,0.000001,0.049642,0.000000,0.614653,9587.030062,devices
cuBLASMp,14336,14336,14336,2048,2048,4,4,4,16,0.000001,0.049642,0.000000,0.514481,11453.676977,devices
cuBLASMp,14336,14336,14336,2048,2048,4,4,4,16,0.000001,0.049642,0.000000,0.425677,13843.101193,devices
cuBLASMp,14336,14336,14336,2048,2048,4,4,4,16,0.000001,0.049642,0.000000,0.485746,12131.229585,devices
cuBLASMp,14336,14336,14336,2048,2048,4,4,4,16,0.000001,0.049642,0.000000,0.498432,11822.462618,devices
