Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),16384,16384,1024,2,host,,,,,1.0,0.420075,,,0.12539466666666665,4384.483738555555,3.0,,,,4.281722400933159,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,1024,4,host,,,,,1.0,0.756749,,,0.05954555555555555,9233.025522777778,3.0,,,,9.016626487087674,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,1024,8,host,,,,,2.0,0.735199,,,0.03586977777777778,15328.968961222223,3.0,,,,14.969696251193577,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,1024,16,host,,,,,4.0,0.73973,,,0.026833777777777776,20823.099594,3.0,,,,20.335058197265624,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,2048,2,host,,,,,1.0,0.413275,,,0.16410433333333332,6700.302060666667,3.0,,,,6.543263731119792,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,2048,4,host,,,,,1.0,0.739264,,,0.08386877777777778,13110.029933222222,3.0,,,,12.802763606662326,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,2048,8,host,,,,,2.0,0.750305,,,0.05158633333333333,21320.684799,3.0,,,,20.820981249023436,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,2048,16,host,,,,,4.0,0.742781,,,0.06521044444444445,17188.078517555557,3.0,,,,16.78523292730035,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,4096,2,host,,,,,1.0,0.364672,,,0.24253855555555554,9066.700351222222,3.0,,,,8.854199561740451,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,4096,4,host,,,,,1.0,0.721905,,,0.13118544444444444,16764.286606111113,3.0,,,,16.371373638780383,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,4096,8,host,,,,,2.0,0.72729,,,0.09193977777777779,23935.28601711111,3.0,,,,23.374302751085068,"Fat-thin
( M = N >> K )"
Cosma(Optimal),16384,16384,4096,16,host,,,,,4.0,0.756361,,,0.07231644444444445,31111.808059444444,3.0,,,,30.382625058051214,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,1280,2,host,,,,,1.0,0.429302,,,0.21330822222222223,5033.764520333333,3.0,,,,4.915785664388021,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,1280,4,host,,,,,1.0,0.745407,,,0.10421922222222221,10318.58944511111,3.0,,,,10.076747504991319,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,1280,8,host,,,,,2.0,0.743241,,,0.06083333333333333,17696.951950444447,3.0,,,,17.282179639105905,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,1280,16,host,,,,,4.0,0.758375,,,0.04112366666666667,26534.46805022222,3.0,,,,25.91256645529514,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,2560,2,host,,,,,1.0,0.398561,,,0.2948214444444444,7284.017475222223,3.0,,,,7.113298315646702,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,2560,4,host,,,,,1.0,0.749095,,,0.159996,13427.157958111111,3.0,,,,13.112458943467882,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,2560,8,host,,,,,2.0,0.753838,,,0.09403555555555555,22960.870563,3.0,,,,22.422725159179688,"Fat-thin
( M = N >> K )"
Cosma(Optimal),20480,20480,2560,16,host,,,,,4.0,0.771588,,,0.06167399999999999,34823.52630411111,3.0,,,,34.007349906358506,"Fat-thin
( M = N >> K )"
