Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),4096,4096,4096,2,host,,,,,1.0,0.440653,,,0.029501111111111113,4659.269912444444,3.0,,,,4.550068273871528,"Square
( M = N = K )"
Cosma(Optimal),4096,4096,4096,4,host,,,,,1.0,0.7546863333333333,,,0.02083737037037037,6596.313252777777,3.0,,,,6.441712160915798,"Square
( M = N = K )"
Cosma(Optimal),4096,4096,4096,8,host,,,,,2.0,0.754643,,,0.01714611111111111,8041.254922444444,3.0,,,,7.852788010199652,"Square
( M = N = K )"
Cosma(Optimal),4096,4096,4096,16,host,,,,,4.0,0.769102,,,0.009944888888888889,13889.235017555555,3.0,,,,13.563706071831596,"Square
( M = N = K )"
Cosma(Optimal),5120,5120,5120,2,host,,,,,1.0,0.396043,,,0.04529866666666667,5926.2096710000005,3.0,,,,5.787314131835938,"Square
( M = N = K )"
Cosma(Optimal),5120,5120,5120,4,host,,,,,1.0,0.7471159999999999,,,0.03269007407407407,8213.713952555556,3.0,,,,8.021205031792535,"Square
( M = N = K )"
Cosma(Optimal),5120,5120,5120,8,host,,,,,2.0,0.732058,,,0.026126666666666666,10283.71777111111,3.0,,,,10.042693135850694,"Square
( M = N = K )"
Cosma(Optimal),5120,5120,5120,16,host,,,,,4.0,0.738127,,,0.01564233333333333,17236.16029955556,3.0,,,,16.832187792534725,"Square
( M = N = K )"
Cosma(Optimal),6144,6144,6144,2,host,,,,,1.0,0.417477,,,0.06605522222222222,7023.285725222222,3.0,,,,6.858677466037326,"Square
( M = N = K )"
Cosma(Optimal),6144,6144,6144,4,host,,,,,1.0,0.750383,,,0.047609740740740744,9755.060258407406,3.0,,,,9.526426033600982,"Square
( M = N = K )"
Cosma(Optimal),6144,6144,6144,8,host,,,,,2.0,0.767216,,,0.03756277777777778,12360.05015922222,3.0,,,,12.07036148361545,"Square
( M = N = K )"
Cosma(Optimal),6144,6144,6144,16,host,,,,,4.0,0.754091,,,0.02140888888888889,21676.594551111113,3.0,,,,21.168549366319446,"Square
( M = N = K )"
Cosma(Optimal),7168,7168,7168,2,host,,,,,1.0,0.436334,,,0.09014144444444444,8171.896901555557,3.0,,,,7.980368067925348,"Square
( M = N = K )"
Cosma(Optimal),7168,7168,7168,4,host,,,,,1.0,0.745893,,,0.06408785185185185,11497.053289444444,3.0,,,,11.22759110297309,"Square
( M = N = K )"
Cosma(Optimal),7168,7168,7168,8,host,,,,,2.0,0.741481,,,0.050340777777777776,14643.382670777779,3.0,,,,14.300178389431425,"Square
( M = N = K )"
Cosma(Optimal),7168,7168,7168,16,host,,,,,4.0,0.763772,,,0.029112555555555555,25324.51013111111,3.0,,,,24.730966924913194,"Square
( M = N = K )"
Cosma(Optimal),8192,8192,8192,2,host,,,,,1.0,0.400882,,,0.12775522222222221,8606.62592111111,3.0,,,,8.404908126085068,"Square
( M = N = K )"
Cosma(Optimal),8192,8192,8192,4,host,,,,,1.0,0.7463650000000001,,,0.08942699999999999,12299.354711,3.0,,,,12.011088584960937,"Square
( M = N = K )"
Cosma(Optimal),8192,8192,8192,8,host,,,,,2.0,0.745519,,,0.07818066666666666,14100.009820222222,3.0,,,,13.769540840060763,"Square
( M = N = K )"
Cosma(Optimal),8192,8192,8192,16,host,,,,,4.0,0.764768,,,0.038082,28901.337537777777,3.0,,,,28.22396243923611,"Square
( M = N = K )"
Cosma(Optimal),9216,9216,9216,2,host,,,,,1.0,0.379911,,,0.15037311111111112,10411.230874333334,3.0,,,,10.167217650716147,"Square
( M = N = K )"
Cosma(Optimal),9216,9216,9216,4,host,,,,,1.0,0.7369776666666666,,,0.10708314814814815,14623.126074740741,3.0,,,,14.280396557364005,"Square
( M = N = K )"
Cosma(Optimal),9216,9216,9216,8,host,,,,,2.0,0.748296,,,0.09696377777777777,16241.446995444443,3.0,,,,15.860788081488714,"Square
( M = N = K )"
