Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),5120,5120,20480,2,host,,,,,1.0,0.422961,,,0.10245722222222223,10482.11482911111,3.0,,,,10.236440262803818,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,20480,4,host,,,,,1.0,0.760185,,,0.047237,22743.508741555557,3.0,,,,22.21045775542535,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,20480,8,host,,,,,2.0,0.809861,,,0.04895044444444444,22439.090873444442,3.0,,,,21.913174681098088,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,20480,16,host,,,,,4.0,0.803329,,,0.06801533333333333,17041.697684666666,3.0,,,,16.64228289518229,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,40960,2,host,,,,,1.0,0.418042,,,0.17717411111111112,12120.754986222222,3.0,,,,11.836674791232639,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,40960,4,host,,,,,1.0,0.745088,,,0.0856061111111111,25128.729680666667,3.0,,,,24.539775078776042,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,40960,8,host,,,,,2.0,0.725553,,,0.071284,31140.51493811111,3.0,,,,30.410659119249132,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,40960,16,host,,,,,4.0,0.880037,,,0.08761733333333334,28843.80044311111,3.0,,,,28.167773870225695,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,81920,2,host,,,,,1.0,0.432238,,,0.3355355555555556,12800.337001777778,3.0,,,,12.500329103298611,"Thin-Fat
( M = N << K )"
Cosma(Optimal),5120,5120,81920,4,host,,,,,1.0,0.736701,,,0.14625288888888888,29380.39695666667,3.0,,,,28.691793902994796,"Thin-Fat
( M = N << K )"
