Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,DataLocation
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,6.511175,3.470038,10807.379716,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,5.867645,2.078950,11992.671874,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,4.417607,1.874450,15929.153078,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,3.979299,1.888302,17683.703352,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,3.741781,1.869765,18806.216403,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,3.331526,1.889455,21122.076575,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,3.365159,1.876973,20910.970116,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,3.193718,1.895736,22033.485217,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,3.109785,1.871149,22628.167407,devices
SLATE,32768,32768,32768,512,512,4,4,4,16,0.219839,3.192720,1.890163,22040.377728,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,4.219840,3.184093,16675.691135,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,3.303287,1.836468,21302.644477,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.733788,1.812032,25740.378589,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.611476,1.830167,26945.961769,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.637631,1.821325,26678.771709,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.352739,1.811181,29909.283777,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.311002,1.817948,30449.446906,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.392286,1.810319,29414.852031,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.310742,1.819796,30452.875150,devices
SLATE,32768,32768,32768,1024,1024,4,4,4,16,0.123436,2.275006,1.816294,30931.233267,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.412318,4.104534,15948.248843,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.154944,3.162980,16936.146435,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.235976,3.147886,16612.169608,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.107376,3.207765,17132.288907,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.135822,3.148130,17014.451916,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.134393,3.197522,17020.331212,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.099823,3.182632,17163.850886,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.110174,3.174062,17120.624204,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.152018,3.175918,16948.081454,devices
SLATE,32768,32768,32768,1536,1536,4,4,4,16,0.086819,4.133296,3.173276,17024.851704,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,4.137208,3.997669,17008.751818,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,4.036517,2.790266,17433.033596,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,4.054809,2.751970,17354.391465,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,3.955068,2.769931,17792.043887,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,4.056906,2.770266,17345.421890,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,3.998590,2.722667,17598.388957,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,4.478682,2.304263,15711.930513,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,3.982352,2.766260,17670.146927,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,3.977336,2.811971,17692.429950,devices
SLATE,32768,32768,32768,2048,2048,4,4,4,16,0.088421,3.981953,2.760304,17671.917925,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.463682,4.059756,15764.728978,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.306781,2.832323,16339.059734,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.371286,2.860482,16097.950034,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.327107,2.856897,16262.306252,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.407456,2.823348,15965.842429,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.330043,2.866531,16251.281467,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.352486,2.866926,16167.482329,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.377176,2.859603,16076.287402,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.390006,2.820556,16029.304160,devices
SLATE,32768,32768,32768,2560,2560,4,4,4,16,0.070616,4.386708,2.805094,16041.355180,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.406855,4.020516,15968.019913,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.426028,2.731902,15898.849132,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.385265,2.756160,16046.635624,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.378264,2.793599,16072.292638,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.428311,2.843584,15890.649475,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.331488,2.862198,16245.857663,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.366317,2.824784,16116.271713,devices
SLATE,32768,32768,32768,3072,3072,4,4,4,16,0.066871,4.378696,2.712364,16070.708084,devices
