Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,DataLocation
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.964561,35819.071712,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.668087,42185.286208,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.918571,36677.682283,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.359885,51746.093427,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.565413,44952.177078,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.206969,58302.019026,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.945194,36175.700229,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.436970,48970.223302,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.695472,41503.929038,devices
cuBLASMp,32768,32768,32768,512,512,4,4,4,16,0.000023,0.279366,0.000000,1.657037,42466.616929,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.974038,35647.102980,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.941904,36236.976125,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.793841,39227.961837,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.820326,38657.212470,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.916743,36712.674277,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.988784,35382.793007,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.899621,37043.565625,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.944589,36186.957679,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000000,1.976523,35602.287079,devices
cuBLASMp,32768,32768,32768,1024,1024,4,4,4,16,0.000035,0.284185,0.000429,2.077173,33877.163533,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,1.992252,35321.206318,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,2.087640,33707.324462,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,2.139742,32886.556333,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,1.916840,36710.803633,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,2.092148,33634.684426,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,1.959285,35915.524718,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,1.828269,38489.268548,devices
cuBLASMp,32768,32768,32768,1536,1536,4,4,4,16,0.000044,0.347392,0.000000,1.968365,35749.838891,devices
